frame,file,mR,mG,mB,sharp,u',v'
0,flicker_0021.jpg,54.899034593724856,45.59868597479217,47.27822472512738,245.3665674479939,0.2070565858188983,0.4680224705979625
1,flicker_0023.jpg,156.58103434662456,139.03575207264115,129.63283063560993,213.10220875230726,0.20418182407299884,0.4740872469083683
2,flicker_0027.jpg,242.67604154510445,236.69716419652235,240.72552223129887,250.08199082882348,0.19896535396501144,0.4674749967639769
3,flicker_0050.jpg,82.2655935613682,76.88710038005813,71.05007824726134,242.25221571145985,0.20158427121238642,0.474125543530957
4,flicker_0052.jpg,26.08254810882548,23.34020128290201,21.399380667993807,229.16409283179783,0.20387032588179943,0.4750528016211764
5,flicker_0061.jpg,26.47618108942769,23.508916485971483,21.53191405479992,233.11328611883113,0.20428375734117374,0.4751954126322997
6,flicker_0063.jpg,74.15146189487139,65.68659530276402,63.57291899664483,204.33772963519613,0.20409089538339492,0.4717535988644218
7,flicker_0066.jpg,245.55737801293355,247.10621693121692,248.50718694885362,243.12286713041107,0.19751072078489493,0.467894398778566
8,flicker_0067.jpg,247.09369125498156,248.8189036769682,250.87782540040604,243.5489592291907,0.19746632389253868,0.46771460771761136
9,flicker_0068.jpg,233.8286840600644,236.322259336162,240.26014865637507,237.48390109754362,0.19725257479022493,0.46712113389492493
10,motion_0000.jpg,176.0623878536922,174.8825396825397,185.59820565907523,245.42436343547232,0.1978704801146733,0.46439103622370154
11,motion_0001.jpg,119.08184253737792,120.44372425316163,139.08809379771267,205.8255128154669,0.1965914995234294,0.45824378959086237
12,motion_0002.jpg,183.60635843947446,194.52231471266674,213.77551566208672,220.3784574186194,0.1946951948154921,0.46124965581044725
13,motion_0003.jpg,157.3937047383981,159.58825842849006,174.8121728281212,202.14436539222393,0.19673955467279874,0.4619669170036329
14,motion_0004.jpg,152.18564972417263,151.41418527802583,164.55740246318146,214.3030400192347,0.19767222205969628,0.4627299944225467
15,motion_0005.jpg,147.43282158825625,147.56766905393107,158.39818383254857,221.77121439462388,0.1974498827305667,0.4635238983704748
16,motion_0006.jpg,139.8811632737848,140.15766514333194,150.60602409638554,223.5511081379476,0.19739422686785332,0.4634377840244114
17,motion_0007.jpg,146.1902564102564,138.5064468864469,137.02454212454214,248.11735563598705,0.2005408820899586,0.4696132681769117
18,motion_0008.jpg,22.24805107526882,17.789314516129032,17.54563172043011,252.27175971261275,0.2094575297771251,0.47170040217482717
19,motion_0009.jpg,55.57970101620895,47.254577139497776,46.05169228185101,213.3264906784249,0.20621240096824114,0.4717624361052889
20,motion_0010.jpg,103.43205944798301,93.25428167020523,92.07650389242745,252.48556374817946,0.20306285947924443,0.4702747150986757
21,motion_0011.jpg,198.69843733557823,189.43823003262128,199.2744133431548,227.19230711043386,0.1999031761618971,0.46545240162258866
22,motion_0012.jpg,245.2287480882103,245.7076563092328,248.13179257245193,235.38445210649314,0.19769885895471462,0.46766154965475026
23,motion_0013.jpg,54.93650228473088,49.958518782268115,47.472434870334105,209.54384489144056,0.20283631819608497,0.4726430707514574
24,motion_0014.jpg,116.14214876033058,102.92972910927456,96.95424701561065,202.68786666799838,0.20422433448785365,0.4734667142248324
25,motion_0015.jpg,252.3794439935065,250.33588068181817,251.35814123376625,251.16791973270867,0.19821252133489223,0.4681502005541063
26,motion_0016.jpg,171.5082118283093,160.50890809305375,157.0990743774574,252.16473039628283,0.20121376068704527,0.47044234062952683
27,motion_0017.jpg,149.3074721352325,139.01747651277907,136.0075765228811,226.67390974420204,0.20147453257200135,0.47052368923679067
28,motion_0018.jpg,142.30877539604137,128.59723395898547,117.20151394327473,228.40898444156844,0.20339309253025045,0.4753242460459499
29,motion_0019.jpg,212.56050671847174,202.30285737412984,198.33877691435973,233.47064163022486,0.20036227566443496,0.4701555109175513
30,motion_0020.jpg,94.63063660477454,82.48640583554376,76.60515346722244,201.2285327692721,0.2051794133916284,0.4745256082139391
31,motion_0022.jpg,95.23565859092174,82.4029344193818,77.15074143692564,204.25781679227032,0.20552349498256406,0.4740982311000969
32,motion_0024.jpg,232.73052559493237,237.48974490669406,245.53192946413284,238.97154240427295,0.19671601892749183,0.46588595163028446
33,motion_0025.jpg,22.123162845385067,22.123162845385067,22.123162845385067,253.6277296060783,0.19783980926014882,0.4683363129286478
34,motion_0026.jpg,118.402701581301,105.64446083629154,99.42646719837721,203.07148602362957,0.2038761929455075,0.47344966658047055
35,motion_0028.jpg,160.91884931506848,149.4334794520548,144.14233789954338,251.2801719976189,0.20168455309925395,0.47146607200063934
36,motion_0029.jpg,138.16347662978984,129.6286414270949,126.04032844619684,245.9474084526868,0.20112219040391602,0.47084358474124804
37,motion_0030.jpg,143.07990120188614,129.1838283087323,118.49025609511091,228.11548189538303,0.2034026152274605,0.47493717358098714
38,motion_0031.jpg,209.49627930682976,198.0025993883792,196.5399592252803,228.27655355768704,0.20064465844871188,0.46942016534300646
39,motion_0032.jpg,177.52744014732966,167.5876611418048,167.41436464088397,244.53516445662348,0.20067024419977633,0.46901384218907366
40,motion_0033.jpg,154.1923112170088,137.2022314882698,122.9319556451613,239.49412920616336,0.2042946983921296,0.4765246385897137
41,motion_0034.jpg,141.39601469756926,130.53911814584512,123.99513849632561,249.1226439888254,0.2020646572512277,0.47251085181490016
42,motion_0035.jpg,145.58823923605294,129.11673647177082,120.54870162506282,250.9721318912893,0.20423814806242294,0.4740147761028694
43,motion_0036.jpg,140.61715050126085,105.3160403468848,87.74806261147673,197.45343386696373,0.21432121705216536,0.4825068566144607
44,motion_0037.jpg,194.49330181245074,187.4824172576832,190.21380023640663,239.7928335593658,0.19955358840237353,0.46776253614509705
45,motion_0038.jpg,186.11806012727672,177.3536976080755,174.26982664033355,240.49889265867247,0.2002895436984776,0.46999598715819957
46,motion_0039.jpg,186.14387678437265,172.96179564237414,168.6925995492111,238.111315113711,0.20159449997988638,0.47074642176204656
47,motion_0040.jpg,160.62963315562325,150.65092663112466,150.70103452652958,243.3582708375086,0.200988708019841,0.4689941444897374
48,motion_0041.jpg,194.12807418538284,180.43749532215256,178.9571326858233,185.71349056659534,0.20148747913094275,0.46965326929280854
49,motion_0042.jpg,160.05861964122835,157.40723624201885,162.452113104287,230.35906606201846,0.19849088253001007,0.4664008185555048
50,motion_0043.jpg,118.27203182374541,106.94405344757241,102.83504181966545,200.9785618372597,0.20306368924749923,0.4719473437045581
51,motion_0044.jpg,161.26048660746517,113.16258753880587,102.30387697639159,227.91414452301322,0.21757986419903086,0.47851513691843506
52,motion_0045.jpg,178.66,178.555101010101,176.6369191919192,223.8563789955315,0.19791980069686552,0.4690579573736105
53,motion_0046.jpg,105.08040970096539,94.45742092457421,90.60089474923475,217.18153274972434,0.20338233086046578,0.47216974263182665
54,motion_0047.jpg,95.56717219966563,84.06660496775734,80.17975280630523,196.722807748333,0.20454260309254596,0.4727591594307042
55,motion_0048.jpg,108.7625319093514,96.48293826517322,91.90945037770253,203.83656612357515,0.20410907901950678,0.47274696347477896
56,motion_0049.jpg,119.02261470281543,107.05915015641293,101.5941605839416,201.62046057545447,0.20340940154761644,0.4728433244397443
57,motion_0051.jpg,145.83550290316538,129.26990073047386,117.78661734407193,200.33593248165707,0.2044028933270441,0.47553282031729166
