id,cx,cy,frames,detections,top_class,avg_score
2085,901.0,310.0,2,2,unknown,0.0
2086,921.5,54.5,2,2,unknown,0.0
2087,937.0,466.6666666666667,2,3,unknown,0.0
2088,950.6,377.0,4,5,unknown,0.0
2089,976.6666666666666,627.6666666666666,2,3,unknown,0.0
2090,995.5,418.0,2,2,unknown,0.0
2091,1013.5,474.5,2,2,unknown,0.0
2092,1024.3,601.7,9,10,unknown,0.0
2093,1028.0,298.0,2,2,unknown,0.0
2094,1045.5,558.0,2,2,unknown,0.0
2095,1050.0,454.0,3,3,unknown,0.0
2096,1046.75,533.25,3,4,unknown,0.0
2097,1048.5,405.0,2,2,unknown,0.0
2098,1062.0,28.5,2,2,unknown,0.0
2099,1081.0,116.5,1,2,unknown,0.0
2100,1082.5,436.0,2,2,unknown,0.0
2101,1085.0,157.5,2,2,unknown,0.0
2102,1104.3333333333333,282.6666666666667,6,6,unknown,0.0
2103,1122.5,399.0,5,6,unknown,0.0
2104,1139.4,496.2,5,5,unknown,0.0
2105,1137.5,70.5,2,2,unknown,0.0
2106,1134.5,42.5,2,2,unknown,0.0
2107,1145.0,481.0,2,2,unknown,0.0
2108,1159.4,314.6,5,5,unknown,0.0
2109,1173.5,337.25,3,4,unknown,0.0
2110,1190.0,405.5,1,2,unknown,0.0
2111,1212.5,86.0,2,2,unknown,0.0
2112,1240.0,316.5,2,2,unknown,0.0
2113,1247.75,405.5,3,4,unknown,0.0
2114,8.25,349.5,4,4,unknown,0.0
2115,10.0,455.6666666666667,2,3,unknown,0.0
2116,6.5,488.5,4,4,unknown,0.0
2117,67.0,456.4,4,5,unknown,0.0
2118,70.5,523.5,2,2,unknown,0.0
2119,81.875,33.5,7,8,unknown,0.0
2120,67.33333333333333,484.6666666666667,3,3,unknown,0.0
2121,64.125,357.5,8,8,unknown,0.0
2122,115.0,6.0,2,2,unknown,0.0
2123,112.8,464.8,5,5,unknown,0.0
2124,151.0,356.0,2,2,unknown,0.0
2125,194.6,420.8,5,5,unknown,0.0
2126,278.0,54.857142857142854,6,7,unknown,0.0
2127,296.0,573.0,2,3,unknown,0.0
2128,342.25,566.25,4,4,unknown,0.0
2129,341.5,431.5,2,2,unknown,0.0
2130,377.0,478.5,2,2,unknown,0.0
2131,431.6,422.0,5,5,unknown,0.0
2132,428.0,66.4,3,5,unknown,0.0
2133,448.0,581.25,4,4,unknown,0.0
2134,450.75,510.5,4,4,unknown,0.0
2135,474.8,14.1,9,10,unknown,0.0
2136,523.5,663.5,4,4,unknown,0.0
2137,533.0,314.3333333333333,3,3,unknown,0.0
2138,585.5,14.5,2,2,unknown,0.0
2139,598.1666666666666,9.166666666666666,6,6,unknown,0.0
2140,605.0,360.3333333333333,3,3,unknown,0.0
2141,632.3333333333334,464.0,3,3,unknown,0.0
2142,650.0,411.0,2,2,unknown,0.0
2143,691.0,37.0,1,2,unknown,0.0
2144,749.3333333333334,10.166666666666666,5,6,unknown,0.0
2145,737.5,552.0,2,2,unknown,0.0
2146,761.5,340.0,2,2,unknown,0.0
2147,812.0,609.0,2,2,unknown,0.0
2148,848.0,619.0,2,2,unknown,0.0
2149,851.3333333333334,307.3333333333333,3,3,unknown,0.0
2150,881.5,396.0,6,6,unknown,0.0
2151,886.1176470588235,557.5882352941177,14,17,unknown,0.0
2152,898.5,407.5,2,2,unknown,0.0
2153,929.5,579.0,2,2,unknown,0.0
2154,959.0,407.6666666666667,3,3,unknown,0.0
2155,965.3333333333334,301.6666666666667,2,3,unknown,0.0
2156,953.6666666666666,605.0,3,3,unknown,0.0
2157,958.5,116.5,1,2,unknown,0.0
2158,982.0,594.0,3,3,unknown,0.0
2159,1009.5,447.0,2,2,unknown,0.0
2160,1071.5,411.0,2,2,unknown,0.0
2161,1084.25,491.75,4,4,unknown,0.0
2162,1088.5833333333333,549.75,10,12,unknown,0.0
2163,1127.3333333333333,291.3333333333333,2,3,unknown,0.0
2164,1143.0,292.0,2,2,unknown,0.0
2165,1154.5,382.0,2,2,unknown,0.0
2166,1183.5,549.0,2,2,unknown,0.0
